Date/Time,"ID: 9021","ID: A821","ID: BF21","ID: 1221","ID: 0721","ID: 3721","ID: 4121","ID: D421","ID: 2421","ID: FA21"
"21-07-23 4:31:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:36:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:41:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:46:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:51:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 4:56:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 5:01:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 5:06:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 5:11:00",13.5,13.5,13,14,13.5,14,14,13.5,13.5,13.5
"21-07-23 5:16:00",13.5,13.5,13,14,13.5,14,14,14,13.5,13.5
"21-07-23 5:21:00",13.5,13.5,13,14,13.5,14,14,13.5,13.5,13.5
"21-07-23 5:26:00",13.5,13.5,13,14,13.5,14,13.5,14,13.5,13.5
"21-07-23 5:31:00",13.5,13.5,13,14,13.5,14,14,13.5,13.5,13.5
"21-07-23 5:36:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 5:41:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 5:46:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 5:51:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 5:56:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 6:01:00",13.5,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 6:06:00",13,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
"21-07-23 6:11:00",13,13.5,13,14,13.5,14,13.5,13.5,13.5,13.5
